Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_d_equation
HIGH,log,1,delta_peak_mm,0.2620108713136907
HIGH,log,1,tau_p_div_u_r,0.6560523822693334
HIGH,log,1,tau_r_div_u_r,-0.8451912894721919
HIGH,log,1,u_p_div_u_r,3.8083630775774973
HIGH,log,1,u_p_div_tau_p,-6.975806736727414
HIGH,log,2,tau_p_div_u_r,0.6857894975876836
HIGH,log,2,tau_r_div_u_r,-0.9426572952730501
HIGH,log,2,u_r_div_u_p,-0.033008730588801403
HIGH,log,2,u_p_div_u_r,4.133735936439573
HIGH,log,2,u_p_div_tau_p,-5.078920433947805
HIGH,log,3,tau_r_div_u_r,-0.9472677988137391
HIGH,log,3,u_p_div_u_r,4.029932002371421
HIGH,log,3,tau_p_div_u_r,0.7844480463469334
HIGH,log,3,u_p_div_tau_p,-4.622554401673731
HIGH,log,3,tau_p_div_u_p,-0.010273383270317172
HIGH,log,4,tau_r_div_u_r,-0.9690743856314202
HIGH,log,4,u_p_div_u_r,4.313933794896858
HIGH,log,4,tau_p_div_u_r,0.7106129381587264
HIGH,log,4,u_p_div_tau_p,-4.735067850732907
HIGH,log,4,tau_p_x_tau_r,0.001168323533020875
HIGH,d,1,u_r_div_tau_r,-0.5311166450197212
HIGH,d,1,delta_peak_mm,0.8095541408119211
HIGH,d,1,u_p_div_tau_p,-6.029406956348665
HIGH,d,1,tau_r_div_tau_p,-4.388278321144034
HIGH,d,1,u_r_div_u_p,-0.06404423087482965
HIGH,d,2,u_r_div_tau_r,-0.33204114711366794
HIGH,d,2,u_p_div_u_r,2.535779944139509
HIGH,d,2,tau_r_div_tau_p,-4.077043187959869
HIGH,d,2,delta_peak_mm,0.42384612402040533
HIGH,d,2,tau_p_div_u_p,-0.015033558288874194
HIGH,d,2,u_p_div_tau_p,-6.380116937944
HIGH,d,3,delta_peak_mm,0.44021777416168223
HIGH,d,3,u_p_div_u_r,3.7835928442847284
HIGH,d,3,u_p_div_tau_p,-9.895666979426217
HIGH,d,3,u_r_div_tau_r,0.38989596662480047
