dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,constraint_ok_count,d_positive_count,b_positive_count
FULL,FULL_direct_poly_rank_2,299,27.62860181300535,0.8857421175470742,27.628601813005332,0.8810724450765889,3.969905456476542,0.8332682719287345,0.10222034233882059,0.0273839802085423,0.0064452637901513,1.5737323124192035,299,0.9996764169259208,299,299,299
FULL,FULL_direct_poly_rank_4,299,27.47902703403605,0.8869758996064219,27.479027034036037,0.882356651299184,4.273053278806218,0.8068322866305868,0.06521768997187856,0.03222452327572374,0.008244553309187,0.4042287427322675,299,0.9998682829613051,299,299,299
FULL,FULL_direct_poly_rank_5,299,26.094823909695943,0.8980758502199293,26.09482390969593,0.8939102523102909,4.1110501960014165,0.8212016600724955,0.12829387093359068,0.03253190555105144,0.0068117684354138,2.01508215024472,299,0.999490290236665,299,299,299
FULL,FULL_direct_poly_rank_3,299,28.156147582843218,0.8813371370726681,28.156147582843197,0.8764874348693298,4.327640347324965,0.8018654351633192,0.087046543883513,0.03484343793576871,0.0085221431874863,1.0321408734875137,299,0.9997653534358866,299,299,299
FULL,FULL_direct_poly_rank_1,299,27.55890637330344,0.8863178404466437,27.558906373303422,0.8816716975333061,4.353413910799862,0.799498399167307,0.10438848008147275,0.03697196403453161,0.0075481245378952,1.4069317175388023,299,0.9996625446772126,299,299,299
FULL,FULL_direct_exp_rank_4,299,48.30513989640356,0.6507350179002811,48.305139896403546,0.6364607023187054,6.573171222128683,0.5429035867003135,0.26947190021241624,0.10496621323758686,0.0302780350758281,2.8564374032195845,299,0.997751265908023,299,299,299
FULL,FULL_direct_exp_rank_2,299,46.50245604586287,0.6763168155051582,46.50245604586285,0.6630880174271145,7.073416182873571,0.4706823856227318,0.27649049088296596,0.10912300576620286,0.0297796642932665,2.946682839718945,299,0.9976326005985261,299,299,299
FULL,FULL_direct_exp_rank_3,299,57.65628880728183,0.5024213639563442,57.65628880728182,0.4820855305875432,6.839645397850207,0.5050912916926869,0.4436359231117042,0.11151110771591087,0.0287664986666174,7.034398621931595,299,0.99390512861407,299,299,299
FULL,FULL_direct_exp_rank_1,299,47.93341726481086,0.6560897341556985,47.93341726481084,0.6420342636161311,7.072847289357855,0.4707675250352834,0.3638002269142187,0.11288772726699219,0.0263626770177557,5.197426618228049,299,0.995901385561974,299,299,299
FULL,FULL_direct_exp_rank_5,299,46.49460279429056,0.6764261323478544,46.494602794290536,0.6632018020040269,7.011769285044134,0.4798684972842828,0.36666145876057504,0.1146396125549562,0.0308356597478942,5.284061592448748,299,0.9958366621168873,299,299,299
HIGH,HIGH_direct_poly_rank_1,67,67.64319558095191,0.8186430702493508,67.64319558095187,0.8191365000217007,0.36241528506446813,0.980196312752826,0.09976576299779397,0.07298287310522664,0.0575524752894496,0.4331651072957346,67,0.9994375842800111,67,67,67
HIGH,HIGH_direct_poly_rank_5,67,51.28233292968301,0.895763104062,51.28233292968296,0.8960467082667242,0.472592895243034,0.9663250140071288,0.1061670116074983,0.07789005609225487,0.0694935754987785,0.4296987881494592,67,0.9993630965808116,67,67,67
HIGH,HIGH_direct_poly_rank_2,67,48.92472080567146,0.9051269998538548,48.92472080567142,0.9053851270890734,0.33309944965595184,0.9832705802738536,0.18875336795282957,0.09410098622719877,0.0556080930424781,1.1558370525311377,67,0.9979868144083698,67,67,67
