file_name,rows,rows_used_for_metrics,model_family,selection_mode,rank_in_saved_results,tau_r_column,estimated_d_column,true_d_column,true_b_column,rmse_b,r2_b,output_file
HIGH_exp_d_rank_3_e_predictions.csv,67,67,exponential,d,3,tau_r_MPa,d_pred,d_csds,b_csds,134.2896248021692,0.2871672914212344,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_exp_d_rank_3_b_predictions.csv
HIGH_exp_d_rank_2_e_predictions.csv,67,67,exponential,d,2,tau_r_MPa,d_pred,d_csds,b_csds,134.53031227340244,0.28460977955427125,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_exp_d_rank_2_b_predictions.csv
HIGH_exp_d_rank_1_e_predictions.csv,67,67,exponential,d,1,tau_r_MPa,d_pred,d_csds,b_csds,135.03828187413998,0.2791971324222958,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_exp_d_rank_1_b_predictions.csv
HIGH_exp_d_rank_5_e_predictions.csv,67,67,exponential,d,5,tau_r_MPa,d_pred,d_csds,b_csds,138.7330189653823,0.23921424460782614,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_exp_d_rank_5_b_predictions.csv
HIGH_exp_d_rank_4_e_predictions.csv,67,67,exponential,d,4,tau_r_MPa,d_pred,d_csds,b_csds,147.53586492424978,0.1396049314832829,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_exp_d_rank_4_b_predictions.csv
HIGH_exp_log_rank_1_e_predictions.csv,67,67,exponential,log,1,tau_r_MPa,d_pred,d_csds,b_csds,134.4972170861869,0.28496171601630405,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_exp_log_rank_1_b_predictions.csv
HIGH_exp_log_rank_5_e_predictions.csv,67,67,exponential,log,5,tau_r_MPa,d_pred,d_csds,b_csds,136.47096841919446,0.26382130445669516,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_exp_log_rank_5_b_predictions.csv
HIGH_exp_log_rank_3_e_predictions.csv,67,67,exponential,log,3,tau_r_MPa,d_pred,d_csds,b_csds,137.11263930549018,0.2568821731480583,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_exp_log_rank_3_b_predictions.csv
HIGH_exp_log_rank_2_e_predictions.csv,67,67,exponential,log,2,tau_r_MPa,d_pred,d_csds,b_csds,137.23654841276533,0.25553845059909885,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_exp_log_rank_2_b_predictions.csv
HIGH_exp_log_rank_4_e_predictions.csv,67,67,exponential,log,4,tau_r_MPa,d_pred,d_csds,b_csds,137.5018584695665,0.25265723480665625,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_exp_log_rank_4_b_predictions.csv
HIGH_poly_rank_2_e_predictions.csv,67,67,polynomial,log,2,tau_r_MPa,d_pred,d_csds,b_csds,78.75332449214181,0.7548451493320687,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_poly_rank_2_b_predictions.csv
HIGH_poly_rank_3_e_predictions.csv,67,67,polynomial,log,3,tau_r_MPa,d_pred,d_csds,b_csds,79.80899007368708,0.7482286383559495,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_poly_rank_3_b_predictions.csv
HIGH_poly_rank_1_e_predictions.csv,67,67,polynomial,log,1,tau_r_MPa,d_pred,d_csds,b_csds,80.29173611406074,0.745173613694281,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_poly_rank_1_b_predictions.csv
HIGH_poly_rank_4_e_predictions.csv,67,67,polynomial,log,4,tau_r_MPa,d_pred,d_csds,b_csds,109.35876145108885,0.5272735917340541,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_poly_rank_4_b_predictions.csv
HIGH_poly_rank_5_e_predictions.csv,67,67,polynomial,log,5,tau_r_MPa,d_pred,d_csds,b_csds,114.98732661032265,0.4773599913621127,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/high/HIGH_poly_rank_5_b_predictions.csv
