file_name,rows,rows_used_for_metrics,model_family,selection_mode,rank_in_saved_results,tau_r_column,estimated_d_column,true_d_column,true_b_column,rmse_b,r2_b,output_file
FULL_exp_d_rank_4_e_predictions.csv,299,299,exponential,d,4,tau_r_MPa,d_pred,d_csds,b_csds,72.99196748991658,0.16992981324495582,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_exp_d_rank_4_b_predictions.csv
FULL_exp_d_rank_1_e_predictions.csv,299,299,exponential,d,1,tau_r_MPa,d_pred,d_csds,b_csds,74.90327836237691,0.12588951824348393,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_exp_d_rank_1_b_predictions.csv
FULL_exp_d_rank_3_e_predictions.csv,299,299,exponential,d,3,tau_r_MPa,d_pred,d_csds,b_csds,76.65709864728701,0.08447663754660661,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_exp_d_rank_3_b_predictions.csv
FULL_exp_d_rank_5_e_predictions.csv,299,299,exponential,d,5,tau_r_MPa,d_pred,d_csds,b_csds,77.85649176968043,0.055603570860260465,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_exp_d_rank_5_b_predictions.csv
FULL_exp_d_rank_2_e_predictions.csv,299,299,exponential,d,2,tau_r_MPa,d_pred,d_csds,b_csds,81.36376333445995,-0.031399059937297746,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_exp_d_rank_2_b_predictions.csv
FULL_exp_log_rank_4_e_predictions.csv,299,299,exponential,log,4,tau_r_MPa,d_pred,d_csds,b_csds,66.71763687153025,0.30650076558248773,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_exp_log_rank_4_b_predictions.csv
FULL_exp_log_rank_1_e_predictions.csv,299,299,exponential,log,1,tau_r_MPa,d_pred,d_csds,b_csds,67.30640213476764,0.29420686897545567,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_exp_log_rank_1_b_predictions.csv
FULL_exp_log_rank_5_e_predictions.csv,299,299,exponential,log,5,tau_r_MPa,d_pred,d_csds,b_csds,68.62979952998741,0.26617899980272264,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_exp_log_rank_5_b_predictions.csv
FULL_exp_log_rank_2_e_predictions.csv,299,299,exponential,log,2,tau_r_MPa,d_pred,d_csds,b_csds,70.03822825028219,0.23575082610340214,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_exp_log_rank_2_b_predictions.csv
FULL_exp_log_rank_3_e_predictions.csv,299,299,exponential,log,3,tau_r_MPa,d_pred,d_csds,b_csds,87.02780946536137,-0.17999666520908875,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_exp_log_rank_3_b_predictions.csv
FULL_poly_rank_1_e_predictions.csv,299,299,polynomial,log,1,tau_r_MPa,d_pred,d_csds,b_csds,39.97565824865917,0.7510248957991384,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_poly_rank_1_b_predictions.csv
FULL_poly_rank_5_e_predictions.csv,299,299,polynomial,log,5,tau_r_MPa,d_pred,d_csds,b_csds,40.10907187601033,0.7493602778081871,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_poly_rank_5_b_predictions.csv
FULL_poly_rank_3_e_predictions.csv,299,299,polynomial,log,3,tau_r_MPa,d_pred,d_csds,b_csds,43.895670615149946,0.6998018219386671,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_poly_rank_3_b_predictions.csv
FULL_poly_rank_2_e_predictions.csv,299,299,polynomial,log,2,tau_r_MPa,d_pred,d_csds,b_csds,44.42256936846434,0.6925517510619736,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_poly_rank_2_b_predictions.csv
FULL_poly_rank_4_e_predictions.csv,299,299,polynomial,log,4,tau_r_MPa,d_pred,d_csds,b_csds,46.632235993446876,0.6612048724650341,/Users/hariderarako/Desktop/python/results/methodologie_1/reconstructed_parameters/b_from_d/full/FULL_poly_rank_4_b_predictions.csv
